runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_fragments_per_gt,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,labelable_tracks,assignment_accuracy,assignment_weighted_accuracy,truth_label_purity,truth_label_median_error_px,n_assignment_rows,n_assignment_cols,n_assigned_pairs,n_unassigned_rows,duplicate_gt_assignments,high_cost_assignments,invalid_cost_assignments,assignment_mean_cost,assignment_median_cost,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,traj_family,traj_position_weight,traj_length_weight,traj_start_frame_weight,seed,nposframe,poisson_noise,difficulty,candidate_tracks,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,peak_objective,traj_objective
0.07165759999770671,25,1.0,0.4803921568627451,0.6490066225165563,196,0,212,0.5214285714285715,0.4857142857142857,1.0,1.0,12,13,0.9246395031272743,1.224995311883484,24,0.5,0.5934959349593496,0.942160174191134,1.235696796521619,25,12,12,13,0,0,0,0.17028945622344813,0.14918650686740875,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_start_75_25,position_start,0.75,0.0,0.25,1,3,80,"npos=3, noise=80",25,456,13.028571428571428,13.0,0.5404174462225961,0.5303181653860058
0.08497890003491193,25,1.0,0.4803921568627451,0.6490066225165563,196,0,212,0.5214285714285715,0.4857142857142857,1.0,1.0,12,13,0.9246395031272743,1.224995311883484,24,0.5,0.5934959349593496,0.942160174191134,1.235696796521619,25,12,12,13,0,0,0,0.16623156641920409,0.12319823354482651,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_start_60_40,position_start,0.6,0.0,0.4,1,3,80,"npos=3, noise=80",25,456,13.028571428571428,13.0,0.5404174462225961,0.5303181653860058
0.08087860001251101,25,1.0,0.5122549019607843,0.6774716369529984,209,0,199,0.557142857142857,0.5857142857142856,1.0,1.0,12,13,0.9408983277350483,1.227447921502606,24,0.5,0.6341463414634146,0.942160174191134,1.235696796521619,25,12,12,13,0,0,0,0.31660348052779835,0.3346690386533737,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_meta_80_10_10,all_terms,0.8,0.1,0.1,1,3,80,"npos=3, noise=80",25,456,13.028571428571428,13.0,0.5696151152527192,0.549745198470739
0.0748790999641642,25,1.0,0.5514705882352942,0.7109004739336493,225,0,183,0.5976190476190475,0.6,1.0,1.0,12,13,0.9771005560314143,1.541367945360312,24,0.5,0.6802168021680217,0.942160174191134,1.235696796521619,25,12,12,13,0,0,0,0.45069650933146477,0.4978354275226593,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_meta_70_20_10,all_terms,0.7,0.2,0.1,1,3,80,"npos=3, noise=80",25,456,13.028571428571428,13.0,0.603223392111672,0.5719962000906401
0.07646080001723021,25,1.0,0.5514705882352942,0.7109004739336493,225,0,183,0.5976190476190475,0.6,1.0,1.0,12,13,0.9771005560314143,1.541367945360312,24,0.5,0.6802168021680217,0.942160174191134,1.235696796521619,25,12,12,13,0,0,0,0.4589303449417154,0.4907522201538086,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_meta_60_20_20,all_terms,0.6,0.2,0.2,1,3,80,"npos=3, noise=80",25,456,13.028571428571428,13.0,0.603223392111672,0.5719962000906401
0.07970630005002022,25,1.0,0.5514705882352942,0.7109004739336493,225,0,183,0.5976190476190475,0.6,1.0,1.0,12,13,0.9771005560314143,1.541367945360312,24,0.5,0.6802168021680217,0.942160174191134,1.235696796521619,25,12,12,13,0,0,0,0.6308872398609916,0.6726401448249817,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,3,80,"npos=3, noise=80",25,456,13.028571428571428,13.0,0.603223392111672,0.5719962000906401
0.07770629995502532,27,1.0,0.36519607843137253,0.5350089766606821,149,0,259,0.4214285714285715,0.35714285714285715,1.0,1.0,12,15,1.0034123983851082,1.222501581218535,27,0.4444444444444444,0.48626373626373626,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.16569661907851696,0.13896290212869644,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,position_only,ablation,1.0,0.0,0.0,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.44203839513310017,0.4484883643187054
0.011461799964308739,27,1.0,0.553921568627451,0.7129337539432177,226,0,182,0.6095238095238095,0.5142857142857142,1.0,1.0,12,15,36.511198671119445,39.28698298460849,27,0.1111111111111111,0.10989010989010989,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,1.3666666528830926,1.699999988079071,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,length_only,ablation,0.0,1.0,0.0,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.49533134583607774,0.27545610365799644
0.01332849997561425,27,1.0,0.4534313725490196,0.6239460370994941,185,0,223,0.5095238095238096,0.4,1.0,1.0,12,15,39.51058537086938,42.44529306155973,27,0.07407407407407407,0.07692307692307693,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.06666666766007741,0.0,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,start_only,ablation,0.0,0.0,1.0,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.4208924324691611,0.22460198723267866
0.07256889995187521,27,1.0,0.47058823529411764,0.6399999999999999,192,0,216,0.5238095238095238,0.41428571428571426,1.0,1.0,12,15,1.0291061038833518,1.3254765094529906,27,0.4444444444444444,0.6043956043956044,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.32496294503410655,0.34681829810142517,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_len_90_10,position_length,0.9,0.1,0.0,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.537752573722159,0.5092576312576312
0.08312109997496009,27,1.0,0.5441176470588235,0.7047619047619048,222,0,186,0.5976190476190475,0.5142857142857142,1.0,1.0,12,15,1.0697894000050865,1.6562877728175318,27,0.4444444444444444,0.6895604395604396,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.5135614238679409,0.5313598811626434,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_len_75_25,position_length,0.75,0.25,0.0,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.6012080699697611,0.5508821733821734
0.06720669998321682,27,1.0,0.5441176470588235,0.7047619047619048,222,0,186,0.5976190476190475,0.5142857142857142,1.0,1.0,12,15,1.0697894000050865,1.6562877728175318,27,0.4444444444444444,0.6895604395604396,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.6925158041218916,0.765087902545929,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_len_60_40,position_length,0.6,0.4,0.0,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.6012080699697611,0.5508821733821734
0.0708702999399975,27,1.0,0.40931372549019607,0.5808695652173913,167,0,241,0.46666666666666673,0.38571428571428573,1.0,1.0,12,15,1.0263858340556204,1.4035066905744118,27,0.4444444444444444,0.5384615384615384,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.20254931785166264,0.14041991531848907,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_start_90_10,position_start,0.9,0.0,0.1,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.4840217331668845,0.4752337421033073
0.06984679994639009,27,1.0,0.4534313725490196,0.6239460370994941,185,0,223,0.5095238095238096,0.4,1.0,1.0,12,15,1.0850977494096736,2.155781635536712,27,0.4074074074074074,0.5,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.19426687310139337,0.11701660230755806,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_start_75_25,position_start,0.75,0.0,0.25,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.5102848543704132,0.4637045513352428
0.0746810999698937,27,1.0,0.4534313725490196,0.6239460370994941,185,0,223,0.5095238095238096,0.4,1.0,1.0,12,15,1.0850977494096736,2.155781635536712,27,0.4074074074074074,0.5,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.1687468346208334,0.09361328557133675,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_start_60_40,position_start,0.6,0.0,0.4,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.5102848543704132,0.4637045513352428
0.07782859995495528,27,1.0,0.5122549019607843,0.6774716369529984,209,0,199,0.569047619047619,0.5142857142857142,1.0,1.0,12,15,1.1112216825841887,2.0641322031123006,27,0.4074074074074074,0.5686813186813187,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.35572415217757225,0.33383849263191223,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_meta_80_10_10,all_terms,0.8,0.1,0.1,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.5621328397309111,0.49753238192865423
0.084490199922584,27,1.0,0.5122549019607843,0.6774716369529984,209,0,199,0.569047619047619,0.5142857142857142,1.0,1.0,12,15,1.1112216825841887,2.0641322031123006,27,0.4074074074074074,0.5686813186813187,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.482612789918979,0.5491413325071335,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_meta_70_20_10,all_terms,0.7,0.2,0.1,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.5621328397309111,0.49753238192865423
0.07738519995473325,27,1.0,0.5122549019607843,0.6774716369529984,209,0,199,0.569047619047619,0.5142857142857142,1.0,1.0,12,15,1.1112216825841887,2.0641322031123006,27,0.4074074074074074,0.5686813186813187,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.47200144330660504,0.5372421145439148,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_meta_60_20_20,all_terms,0.6,0.2,0.2,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.5621328397309111,0.49753238192865423
0.06961400003638119,27,1.0,0.5122549019607843,0.6774716369529984,209,0,199,0.569047619047619,0.5142857142857142,1.0,1.0,12,15,1.1112216825841887,2.0641322031123006,27,0.4074074074074074,0.5686813186813187,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.6270378368596236,0.6139377355575562,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,3,80,"npos=3, noise=80",27,437,12.485714285714286,12.0,0.5621328397309111,0.49753238192865423
0.0893826000392437,30,1.0,0.375,0.5454545454545454,153,0,255,0.41904761904761906,0.2571428571428571,1.0,1.0,12,18,0.7705710470943008,1.208244514025139,30,0.4,0.4009111617312073,0.967593954248366,1.158887775762924,30,12,12,18,0,0,0,0.15591143475224575,0.1590813770890236,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,position_only,ablation,1.0,0.0,0.0,3,3,80,"npos=3, noise=80",30,492,14.057142857142857,14.0,0.43473621032225496,0.4112234614284728
0.014142600004561245,30,1.0,0.6593137254901961,0.7946824224519942,269,0,139,0.7166666666666667,0.6857142857142857,1.0,1.0,12,18,35.8289090853532,40.07627459518104,30,0.06666666666666667,0.12300683371298406,0.967593954248366,1.158887775762924,30,12,12,18,0,0,0,0.9916666646798452,1.0999999940395355,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,length_only,ablation,0.0,1.0,0.0,3,3,80,"npos=3, noise=80",30,492,14.057142857142857,14.0,0.5649589029496114,0.2880215262519782
0.013399200048297644,30,1.0,0.4803921568627451,0.6490066225165563,196,0,212,0.5357142857142857,0.42857142857142855,1.0,1.0,12,18,42.18216589150669,46.314072079734316,30,0.03333333333333333,0.07517084282460136,0.967593954248366,1.158887775762924,30,12,12,18,0,0,0,0.05000000074505806,0.0,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,start_only,ablation,0.0,0.0,1.0,3,3,80,"npos=3, noise=80",30,492,14.057142857142857,14.0,0.4397075091105397,0.2154987971142235
0.10072720004245639,30,1.0,0.6421568627450981,0.782089552238806,262,0,146,0.6999999999999998,0.6857142857142857,1.0,1.0,12,18,0.8166081266704033,1.5676699434858863,30,0.4,0.6697038724373576,0.967593954248366,1.158887775762924,30,12,12,18,0,0,0,0.27951418546338874,0.27120740711688995,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_len_90_10,position_length,0.9,0.1,0.0,3,3,80,"npos=3, noise=80",30,492,14.057142857142857,14.0,0.6634380765099926,0.5538438785571006
