runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_fragments_per_gt,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,labelable_tracks,assignment_accuracy,assignment_weighted_accuracy,truth_label_purity,truth_label_median_error_px,n_assignment_rows,n_assignment_cols,n_assigned_pairs,n_unassigned_rows,duplicate_gt_assignments,high_cost_assignments,invalid_cost_assignments,assignment_mean_cost,assignment_median_cost,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,seed,nposframe,poisson_noise,difficulty,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,peak_objective,traj_objective
0.2002254999242723,29,1.0,0.39215686274509803,0.5633802816901409,160,0,248,0.4380952380952381,0.3857142857142857,1.0,1.0,12,17,0.9576555760816385,1.1291604399891622,29,0.41379310344827586,0.4972972972972973,0.9571801761456934,1.17837503239892,29,12,12,17,0,0,0,0.15217537246644497,0.13602709770202637,peak2peak,dist_sig_90_10,distance_sigma,0.9,0.0,0.1,position_only,2,3,80,"npos=3, noise=80",437,12.485714285714286,12.0,0.46221733655316843,0.44632714585118666
0.20588840008713305,28,1.0,0.43137254901960786,0.6027397260273972,176,0,232,0.4714285714285715,0.35714285714285715,1.0,1.0,12,16,0.9555651006994148,1.1318815379138298,28,0.42857142857142855,0.5395095367847411,0.9757884972170687,1.3227573386463083,28,12,12,16,0,0,0,0.152268897742033,0.13602709770202637,peak2peak,dist_sig_75_25,distance_sigma,0.75,0.0,0.25,position_only,2,3,80,"npos=3, noise=80",437,12.485714285714286,12.0,0.4965700672609299,0.4739967579730933
0.21054000000003725,25,1.0,0.4117647058823529,0.5833333333333334,168,0,240,0.46428571428571425,0.34285714285714286,1.0,1.0,12,13,0.9985281835553558,1.2592476112600135,25,0.48,0.5342465753424658,0.9755933952528381,1.2410924771425575,25,12,12,13,0,0,0,0.1663019439826409,0.14502015709877014,peak2peak,dist_sig_60_40,distance_sigma,0.6,0.0,0.4,position_only,2,3,80,"npos=3, noise=80",437,12.485714285714286,12.0,0.4841306008511325,0.4886568819308546
0.23040130001027137,28,1.0,0.3897058823529412,0.5608465608465609,159,0,249,0.43333333333333335,0.3857142857142857,1.0,1.0,12,16,0.9576555760816385,1.1532311580483894,28,0.42857142857142855,0.49056603773584906,0.9757884972170687,1.1735399205461605,28,12,12,16,0,0,0,0.15146188624203205,0.1355363354086876,peak2peak,dist_meta_80_10_10,all_terms,0.8,0.1,0.1,position_only,2,3,80,"npos=3, noise=80",437,12.485714285714286,12.0,0.458750311006685,0.44957272636517925
0.2255367999896407,27,1.0,0.40931372549019607,0.5808695652173913,167,0,241,0.4619047619047619,0.37142857142857144,1.0,1.0,12,15,0.9533781005320447,1.1585036790350072,27,0.4444444444444444,0.5388888888888889,0.9769459298871063,1.17837503239892,27,12,12,15,0,0,0,0.155239666501681,0.13896290212869644,peak2peak,dist_meta_70_20_10,all_terms,0.7,0.2,0.1,position_only,2,3,80,"npos=3, noise=80",437,12.485714285714286,12.0,0.48316913854122423,0.4748643892339544
0.21310470008756965,27,1.0,0.36519607843137253,0.5350089766606821,149,0,259,0.4214285714285715,0.35714285714285715,1.0,1.0,12,15,1.0034123983851082,1.222501581218535,27,0.4444444444444444,0.48626373626373626,0.9727331673410106,1.2866930997935464,27,12,12,15,0,0,0,0.16569661907851696,0.13896290212869644,peak2peak,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,position_only,2,3,80,"npos=3, noise=80",437,12.485714285714286,12.0,0.44203839513310017,0.4484883643187054
0.231646400061436,23,1.0,0.38235294117647056,0.5531914893617021,156,0,252,0.4357142857142857,0.35714285714285715,1.0,1.0,12,11,1.0684605292797258,1.3828920667877078,23,0.5217391304347826,0.5111731843575419,0.9619900576027776,1.1974696312650317,23,12,12,11,0,0,0,0.17532053651909033,0.16552357375621796,peak2peak,equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,position_only,2,3,80,"npos=3, noise=80",437,12.485714285714286,12.0,0.4581935667782548,0.4906986747070676
0.2172848000191152,29,1.0,0.4950980392156863,0.6622950819672131,202,0,206,0.5357142857142857,0.44285714285714284,1.0,1.0,12,17,0.8173444438329878,1.1041354649223303,27,0.4444444444444444,0.6064690026954178,0.9523287057769817,1.2450677657208191,29,12,12,17,0,0,0,0.1390008544549346,0.14331403374671936,peak2peak,distance_only,ablation,1.0,0.0,0.0,position_only,3,3,80,"npos=3, noise=80",492,14.057142857142857,14.0,0.5529814211521169,0.5154254734165035
0.20291740004904568,23,1.0,0.571078431372549,0.7269890795631825,233,0,175,0.6452380952380953,0.7285714285714285,1.0,1.0,12,11,0.9614422716676077,1.701906144970171,21,0.5238095238095238,0.6128205128205129,0.8454303022119659,1.2532185634441992,23,12,12,11,0,0,0,0.22569803955654302,0.1957220360636711,peak2peak,intensity_only,ablation,0.0,1.0,0.0,position_only,3,3,80,"npos=3, noise=80",492,14.057142857142857,14.0,0.6131217319954384,0.5726505631653839
0.23137539997696877,31,1.0,0.4215686274509804,0.593103448275862,172,0,236,0.4785714285714285,0.3,1.0,1.0,12,19,0.7795847463531927,1.130483568500023,29,0.41379310344827586,0.48668280871670705,0.8831927296822933,1.2455343318710668,31,12,12,19,0,0,0,0.16972681072851023,0.16518789529800415,peak2peak,sigma_only,ablation,0.0,0.0,1.0,position_only,3,3,80,"npos=3, noise=80",492,14.057142857142857,14.0,0.48627355978946973,0.4536657760708024
