runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_fragments_per_gt_x,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,labelable_tracks,assignment_accuracy,assignment_weighted_accuracy,truth_label_purity,truth_label_median_error_px,n_assignment_rows,n_assignment_cols,n_assigned_pairs,n_unassigned_rows,duplicate_gt_assignments,high_cost_assignments,invalid_cost_assignments,assignment_mean_cost,assignment_median_cost,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,seed,nposframe,poisson_noise,difficulty,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,peak_objective,traj_objective,mota,motp,idf1,recall,precision,num_switches,motp_manual,mean_fragments_per_gt_y
0.2625529000069946,31,1.0,0.3774509803921568,0.5480427046263345,154,0,254,0.4452380952380952,0.3714285714285714,1.0,1.0,12,19,1.0270170309911206,1.3985242103058382,28,0.4285714285714285,0.5297450424929179,0.9208891914537076,1.2861280487411688,31,12,12,19,0,0,0,0.190407712633411,0.1959530636668205,peak2peak,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.460941318630412,0.4579971825008773,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.4242748999968171,29,1.0,0.3455882352941176,0.5136612021857923,141,0,267,0.4071428571428571,0.3428571428571428,1.0,1.0,12,17,1.011177466881509,1.3503826518604425,27,0.4444444444444444,0.4816901408450704,0.9459799970144798,1.30184529139144,29,12,12,17,0,0,0,0.1857046484947204,0.1910807192325592,peak2peak,equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.4270779210045652,0.4416468391404895,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.4122780000325292,33,1.0,0.3946078431372549,0.5659050966608085,161,0,247,0.4428571428571429,0.3714285714285714,1.0,1.0,12,21,0.897926015210976,1.1910698895643383,33,0.3636363636363636,0.4696969696969697,0.9788973478628652,1.2609656253844743,33,12,12,21,0,0,0,0.1574345355232556,0.1689128503203392,peak2peak,distance_only,ablation,1.0,0.0,0.0,position_only,1,3,80,"npos=3, noise=80",456,13.028571428571428,13.0,0.4607541569421942,0.4203455214966639,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.1548613000195473,23,1.0,0.4362745098039216,0.6075085324232082,178,0,230,0.511904761904762,0.4142857142857142,1.0,1.0,12,11,1.1029952064395474,2.367021062221016,19,0.5789473684210527,0.6203389830508474,0.8593719979401557,1.0701025193825244,23,12,12,11,0,0,0,0.2401917198052009,0.1712223961949348,peak2peak,intensity_only,ablation,0.0,1.0,0.0,position_only,1,3,80,"npos=3, noise=80",456,13.028571428571428,13.0,0.5206450721212735,0.5593558758062508,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.1573048999998718,25,1.0,0.3725490196078431,0.5428571428571428,152,0,256,0.4261904761904762,0.3857142857142857,1.0,1.0,12,13,0.9818186479824534,1.5530462963355511,24,0.5,0.4890710382513661,0.8845582255198624,1.151494780727771,25,12,12,13,0,0,0,0.1903559310982624,0.1746977344155311,peak2peak,sigma_only,ablation,0.0,0.0,1.0,position_only,1,3,80,"npos=3, noise=80",456,13.028571428571428,13.0,0.4476550262839611,0.4734582357533177,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.1867889999412,32,1.0,0.3848039215686274,0.5557522123893806,157,0,251,0.4190476190476191,0.3571428571428571,1.0,1.0,12,20,0.897926015210976,1.1479243997075623,32,0.375,0.4444444444444444,0.9799661096805492,1.2483312123335906,32,12,12,20,0,0,0,0.1568574402481317,0.1683912202715873,peak2peak,dist_int_90_10,distance_intensity,0.9,0.1,0.0,position_only,1,3,80,"npos=3, noise=80",456,13.028571428571428,13.0,0.4459374550662205,0.4141663154937491,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.2181160999462008,32,1.0,0.3700980392156863,0.5402504472271914,151,0,257,0.4119047619047619,0.3714285714285714,1.0,1.0,12,20,0.8650718296717664,1.1081889223642765,32,0.375,0.4282178217821782,0.9768293931945248,1.3198672021552913,32,12,12,20,0,0,0,0.1569677138080199,0.1681978851556778,peak2peak,dist_int_75_25,distance_intensity,0.75,0.25,0.0,position_only,1,3,80,"npos=3, noise=80",456,13.028571428571428,13.0,0.4340900679958438,0.4062950210814591,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.233371099922806,30,1.0,0.3333333333333333,0.5,136,0,272,0.3785714285714286,0.3285714285714285,1.0,1.0,12,18,0.8490574207603758,1.0916404126583683,30,0.4,0.3916256157635468,0.9527904319622584,1.2043514288416672,30,12,12,18,0,0,0,0.1492598615586757,0.1529279127717018,peak2peak,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,1,3,80,"npos=3, noise=80",456,13.028571428571428,13.0,0.4002027341795377,0.3957635467980295,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.2245225999504327,28,1.0,0.5024509803921569,0.6688417618270799,205,0,203,0.5452380952380952,0.4857142857142857,1.0,1.0,12,16,0.977100558328259,1.2160346492979124,28,0.4285714285714285,0.5871794871794872,0.97511151012129,1.116280878053975,28,12,12,16,0,0,0,0.1569271658857663,0.1689128503203392,peak2peak,dist_sig_90_10,distance_sigma,0.9,0.0,0.1,position_only,1,3,80,"npos=3, noise=80",456,13.028571428571428,13.0,0.5551432007062558,0.5065156051126687,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.2414235000032931,26,1.0,0.4044117647058823,0.5759162303664922,165,0,243,0.4428571428571428,0.3714285714285714,1.0,1.0,12,14,1.0299978359204591,1.267147660956638,25,0.48,0.4973262032085561,0.9545281463550696,1.0977743987014597,26,12,12,14,0,0,0,0.1589406294127305,0.1597541868686676,peak2peak,dist_sig_75_25,distance_sigma,0.75,0.0,0.25,position_only,1,3,80,"npos=3, noise=80",456,13.028571428571428,13.0,0.4694088394941135,0.4758005111611517,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
