seed,difficulty,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,runtime_s,hota,deta,assa,tp,fp,fn
2,"S2 (N=10, I=700+/-100)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,0.41842080000787973,0.5005020334478136,0.8520499108734403,0.2939995442621493,478,61,22
2,"S2 (N=10, I=700+/-100)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,0.7121244000736624,0.49804196275893864,0.8436944937833037,0.2939995442621493,475,63,25
2,"S2 (N=10, I=700+/-100)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,0.6910491001326591,0.5142373086859929,0.8467023172905526,0.31231756928553267,475,61,25
2,"S2 (N=10, I=700+/-100)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4848352000117302,0.4858641842789609,0.8389380530973451,0.28138431043092604,474,65,26
3,"S2 (N=10, I=700+/-100)",distance_only,ablation,1.0,0.0,0.0,0.2662197998724878,0.4609860919217064,0.8921389396709324,0.23820076391198902,488,47,12
3,"S2 (N=10, I=700+/-100)",intensity_only,ablation,0.0,1.0,0.0,0.3732979001943022,0.42981850882767975,0.8752260397830018,0.21108141455281026,484,53,16
3,"S2 (N=10, I=700+/-100)",sigma_only,ablation,0.0,0.0,1.0,0.26789409993216395,0.45133134099119077,0.8878842676311031,0.22942176901544054,491,53,9
3,"S2 (N=10, I=700+/-100)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,0.5974455999676138,0.4728591586279815,0.8978102189781022,0.24904571052094043,492,48,8
3,"S2 (N=10, I=700+/-100)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,0.4880060001742095,0.45786479508630973,0.8822463768115942,0.23762089149865395,487,52,13
3,"S2 (N=10, I=700+/-100)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,0.36686179996468127,0.45413272250214465,0.8840579710144928,0.23328394337143413,488,52,12
3,"S2 (N=10, I=700+/-100)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,0.3627723001409322,0.4872258476929696,0.8972477064220183,0.2645746820649742,489,45,11
3,"S2 (N=10, I=700+/-100)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,0.5467946999706328,0.5102712840230446,0.9059040590405905,0.28742202962892344,491,42,9
3,"S2 (N=10, I=700+/-100)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,0.4531839999835938,0.5175425241716434,0.9040590405904059,0.29627519033605754,490,42,10
3,"S2 (N=10, I=700+/-100)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,0.4205236998386681,0.47854002883541347,0.8876811594202898,0.2579761401575198,490,52,10
3,"S2 (N=10, I=700+/-100)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,0.4332924000918865,0.4908846024451977,0.8907103825136612,0.270534281005851,489,49,11
3,"S2 (N=10, I=700+/-100)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,0.5050918001215905,0.48436856530681494,0.8832116788321168,0.26563610137901955,484,48,16
3,"S2 (N=10, I=700+/-100)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.45983990002423525,0.49205058547432723,0.8864864864864865,0.2731161527630562,492,55,8
0,"S3 (N=15, I=600+/-150)",distance_only,ablation,1.0,0.0,0.0,0.7873784999828786,0.4489579051468936,0.7804295942720764,0.2582721132992009,654,88,96
0,"S3 (N=15, I=600+/-150)",intensity_only,ablation,0.0,1.0,0.0,1.006206100108102,0.4196286294469571,0.7719714964370546,0.22810192793936868,650,92,100
0,"S3 (N=15, I=600+/-150)",sigma_only,ablation,0.0,0.0,1.0,1.1609267999883741,0.3845586758110442,0.7832335329341318,0.18881389639631355,654,85,96
0,"S3 (N=15, I=600+/-150)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,1.8941896001342684,0.4436249675529192,0.7870813397129187,0.2500416436096819,658,86,92
0,"S3 (N=15, I=600+/-150)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,1.332547799916938,0.4517155897960604,0.7797619047619048,0.2616785621594417,655,90,95
0,"S3 (N=15, I=600+/-150)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,1.180986300110817,0.4727771470762316,0.7779111644657863,0.28733130594807316,648,83,102
0,"S3 (N=15, I=600+/-150)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,1.5863059000112116,0.41939019604389743,0.7813238770685579,0.22511552724799846,661,96,89
